 Data from HASI_L4_ATMO_PROFILE_DESCEN.TAB
 Huygens Atmospheric Structure Instrument (HASI)
 Extended below 3 m assuming a constant temperature lapse rate
 and an ideal gas, based on the two lowest-altitude measured points.
 Columns are altitude, pressure, temperature, density.

 1827

  z[m]        p[Pa]  T[K]      rho[kg/m^3]
   58033.0   4728.0   73.9764  0.2138800
   57930.0   4758.0   73.8673  0.2152600
   57827.0   4786.0   73.7705  0.2170200
   57725.0   4817.0   73.7410  0.2184200
   57622.0   4845.0   73.7055  0.2202800
   57521.0   4875.0   73.5780  0.2215100
   57419.0   4905.0   73.4655  0.2230300
   57318.0   4935.0   73.4409  0.2249300
   57217.0   4965.0   73.4292  0.2263900
   57117.0   4995.0   73.3212  0.2277700
   57017.0   5025.0   73.2120  0.2294400
   56917.0   5055.0   73.1075  0.2311900
   56818.0   5086.0   73.0215  0.2328000
   56606.0   5152.0   72.8470  0.2364300
   56508.0   5183.0   72.7872  0.2380800
   56410.0   5214.0   72.7844  0.2397300
   56312.0   5244.0   72.7676  0.2413200
   56214.0   5276.0   72.7341  0.2426500
   56117.0   5306.0   72.6637  0.2443000
   56020.0   5338.0   72.6495  0.2458400
   55924.0   5369.0   72.5733  0.2474100
   55827.0   5400.0   72.5717  0.2491300
   55732.0   5432.0   72.5301  0.2505600
   55636.0   5464.0   72.4683  0.2520800
   55541.0   5495.0   72.4092  0.2537600
   55446.0   5527.0   72.3766  0.2555400
   55352.0   5559.0   72.3494  0.2571200
   55258.0   5592.0   72.2786  0.2585700
   55164.0   5625.0   72.1865  0.2602200
   55070.0   5656.0   72.1019  0.2621800
   54977.0   5688.0   72.0279  0.2640500
   54778.0   5758.0   71.8405  0.2678600
   54685.0   5791.0   71.8038  0.2697100
   54593.0   5824.0   71.8141  0.2714500
   54501.0   5856.0   71.8125  0.2730900
   54409.0   5889.0   71.8126  0.2746300
   54317.0   5922.0   71.7748  0.2761700
   54226.0   5954.0   71.7170  0.2778800
   54135.0   5988.0   71.6698  0.2795400
   54044.0   6022.0   71.6363  0.2812200
   53954.0   6056.0   71.5939  0.2829200
   53864.0   6090.0   71.5342  0.2845600
   53775.0   6124.0   71.4795  0.2864100
   53686.0   6157.0   71.3888  0.2883600
   53598.0   6191.0   71.3712  0.2902000
   53509.0   6226.0   71.4108  0.2918900
   53421.0   6259.0   71.3765  0.2935000
   53333.0   6292.0   71.3530  0.2952300
   53246.0   6326.0   71.3212  0.2969300
   53159.0   6361.0   71.2886  0.2985200
   53071.0   6395.0   71.2595  0.3002200
   52985.0   6430.0   71.2207  0.3020300
   52898.0   6465.0   71.1989  0.3038200
   52812.0   6500.0   71.2085  0.3055200
   52726.0   6536.0   71.1884  0.3071500
   52640.0   6570.0   71.2280  0.3088400
   52554.0   6605.0   71.2540  0.3105700
   52469.0   6640.0   71.2602  0.3120200
   52286.0   6714.0   71.1191  0.3157700
   52201.0   6749.0   71.1358  0.3177200
   52116.0   6785.0   71.1398  0.3194700
   52032.0   6821.0   71.1274  0.3210300
   51948.0   6857.0   71.1247  0.3227200
   51864.0   6894.0   71.1398  0.3243900
   51780.0   6929.0   71.1324  0.3261000
   51696.0   6965.0   71.1136  0.3279100
   51613.0   7002.0   71.0795  0.3295700
   51530.0   7038.0   71.0267  0.3313600
   51447.0   7073.0   71.0110  0.3333800
   51364.0   7110.0   70.9448  0.3353200
   51282.0   7148.0   70.9039  0.3370300
   51199.0   7185.0   70.8892  0.3390000
   51117.0   7221.0   70.8943  0.3410100
   51036.0   7258.0   70.8827  0.3428700
   50954.0   7294.0   70.8573  0.3445900
   50873.0   7331.0   70.8487  0.3464700
   50699.0   7412.0   70.8158  0.3503100
   50618.0   7449.0   70.7963  0.3522100
   50537.0   7487.0   70.7863  0.3541000
   50457.0   7525.0   70.8059  0.3559000
   50377.0   7562.0   70.8512  0.3577100
   50297.0   7599.0   70.8384  0.3594800
   50217.0   7639.0   70.9006  0.3610600
   50137.0   7676.0   70.9306  0.3626600
   50058.0   7714.0   70.9111  0.3644000
   49978.0   7752.0   70.8996  0.3660900
   49899.0   7790.0   70.8936  0.3679800
   49821.0   7828.0   70.8692  0.3698400
   49742.0   7866.0   70.8407  0.3717500
   49664.0   7906.0   70.8421  0.3736600
   49586.0   7944.0   70.8513  0.3754900
   49508.0   7982.0   70.7608  0.3774700
   49430.0   8021.0   70.6780  0.3793900
   49353.0   8060.0   70.6248  0.3816500
   49276.0   8100.0   70.6199  0.3839000
   49199.0   8139.0   70.6662  0.3859100
   49122.0   8178.0   70.6448  0.3878400
   49046.0   8217.0   70.5634  0.3895300
   48969.0   8259.0   70.5261  0.3915500
   48893.0   8297.0   70.5213  0.3936300
   48817.0   8340.0   70.5257  0.3959900
   48742.0   8379.0   70.5536  0.3974900
   48666.0   8418.0   70.4958  0.3996300
   48505.0   8504.0   70.5077  0.4039900
   48430.0   8544.0   70.5057  0.4058700
   48355.0   8585.0   70.5175  0.4077500
   48280.0   8627.0   70.4973  0.4095900
   48205.0   8666.0   70.4651  0.4113700
   48131.0   8707.0   70.4707  0.4137000
   48057.0   8749.0   70.5062  0.4156800
   47983.0   8789.0   70.4931  0.4174800
   47909.0   8830.0   70.4405  0.4194400
   47835.0   8870.0   70.4145  0.4214000
   47761.0   8913.0   70.4186  0.4237700
