   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
   910.0 2.675E-07 5.027E-07 8.571E-07 1.263E-06 1.674E-06 2.061E-06 2.408E-06
   920.0 2.922E-07 4.946E-07 8.092E-07 1.194E-06 1.602E-06 1.998E-06 2.359E-06
   930.0 3.249E-07 4.894E-07 7.662E-07 1.132E-06 1.538E-06 1.944E-06 2.321E-06
   940.0 3.524E-07 4.815E-07 7.262E-07 1.077E-06 1.484E-06 1.901E-06 2.294E-06
   950.0 3.586E-07 4.661E-07 6.875E-07 1.028E-06 1.439E-06 1.869E-06 2.278E-06
   960.0 3.408E-07 4.419E-07 6.494E-07 9.855E-07 1.403E-06 1.847E-06 2.273E-06
   970.0 3.090E-07 4.111E-07 6.124E-07 9.486E-07 1.377E-06 1.836E-06 2.278E-06
   980.0 2.732E-07 3.775E-07 5.773E-07 9.177E-07 1.358E-06 1.833E-06 2.291E-06
   990.0 2.391E-07 3.439E-07 5.450E-07 8.924E-07 1.347E-06 1.838E-06 2.311E-06
  1000.0 2.088E-07 3.122E-07 5.159E-07 8.720E-07 1.340E-06 1.847E-06 2.334E-06
  1010.0 1.827E-07 2.833E-07 4.899E-07 8.549E-07 1.336E-06 1.856E-06 2.355E-06
  1020.0 1.606E-07 2.573E-07 4.663E-07 8.386E-07 1.331E-06 1.861E-06 2.370E-06
  1030.0 1.420E-07 2.343E-07 4.441E-07 8.205E-07 1.319E-06 1.857E-06 2.372E-06
  1040.0 1.262E-07 2.142E-07 4.221E-07 7.982E-07 1.299E-06 1.839E-06 2.357E-06
  1050.0 1.129E-07 1.966E-07 3.999E-07 7.708E-07 1.267E-06 1.806E-06 2.325E-06
  1060.0 1.016E-07 1.815E-07 3.779E-07 7.389E-07 1.227E-06 1.760E-06 2.276E-06
  1070.0 9.200E-08 1.687E-07 3.567E-07 7.043E-07 1.179E-06 1.702E-06 2.213E-06
  1080.0 8.394E-08 1.582E-07 3.372E-07 6.686E-07 1.126E-06 1.636E-06 2.139E-06
  1090.0 7.726E-08 1.500E-07 3.199E-07 6.336E-07 1.072E-06 1.566E-06 2.058E-06
  1100.0 7.194E-08 1.443E-07 3.056E-07 6.005E-07 1.017E-06 1.494E-06 1.974E-06
  1110.0 6.802E-08 1.414E-07 2.945E-07 5.702E-07 9.648E-07 1.421E-06 1.888E-06
  1120.0 6.569E-08 1.415E-07 2.868E-07 5.431E-07 9.147E-07 1.351E-06 1.802E-06
  1130.0 6.525E-08 1.450E-07 2.824E-07 5.194E-07 8.678E-07 1.283E-06 1.719E-06
  1140.0 6.709E-08 1.519E-07 2.809E-07 4.987E-07 8.243E-07 1.218E-06 1.639E-06
  1150.0 7.145E-08 1.615E-07 2.813E-07 4.803E-07 7.837E-07 1.157E-06 1.561E-06
  1160.0 7.780E-08 1.719E-07 2.818E-07 4.629E-07 7.455E-07 1.099E-06 1.488E-06
  1170.0 8.393E-08 1.801E-07 2.806E-07 4.455E-07 7.091E-07 1.044E-06 1.418E-06
  1180.0 8.647E-08 1.827E-07 2.758E-07 4.270E-07 6.737E-07 9.920E-07 1.351E-06
  1190.0 8.400E-08 1.784E-07 2.666E-07 4.067E-07 6.391E-07 9.419E-07 1.288E-06
  1200.0 7.810E-08 1.686E-07 2.537E-07 3.850E-07 6.050E-07 8.941E-07 1.228E-06
  1210.0 7.087E-08 1.555E-07 2.381E-07 3.623E-07 5.717E-07 8.484E-07 1.171E-06
  1220.0 6.365E-08 1.413E-07 2.212E-07 3.392E-07 5.394E-07 8.048E-07 1.117E-06
  1230.0 5.700E-08 1.274E-07 2.042E-07 3.166E-07 5.083E-07 7.631E-07 1.065E-06
  1240.0 5.111E-08 1.144E-07 1.877E-07 2.948E-07 4.785E-07 7.232E-07 1.015E-06
  1250.0 4.595E-08 1.027E-07 1.722E-07 2.742E-07 4.501E-07 6.850E-07 9.672E-07
  1260.0 4.145E-08 9.227E-08 1.580E-07 2.550E-07 4.231E-07 6.483E-07 9.208E-07
  1270.0 3.752E-08 8.310E-08 1.450E-07 2.373E-07 3.976E-07 6.134E-07 8.760E-07
  1280.0 3.409E-08 7.506E-08 1.333E-07 2.211E-07 3.737E-07 5.802E-07 8.330E-07
  1290.0 3.106E-08 6.801E-08 1.228E-07 2.063E-07 3.515E-07 5.489E-07 7.921E-07
  1300.0 2.839E-08 6.184E-08 1.135E-07 1.931E-07 3.310E-07 5.195E-07 7.533E-07
  1310.0 2.601E-08 5.643E-08 1.053E-07 1.812E-07 3.121E-07 4.922E-07 7.168E-07
  1320.0 2.390E-08 5.169E-08 9.812E-08 1.706E-07 2.949E-07 4.669E-07 6.827E-07
  1330.0 2.201E-08 4.756E-08 9.186E-08 1.612E-07 2.793E-07 4.435E-07 6.509E-07
  1340.0 2.031E-08 4.396E-08 8.650E-08 1.531E-07 2.652E-07 4.221E-07 6.214E-07
