 Galileo Probe Jupiter data from 
 Seiff et al (1997, Science 276, 102-104) 
 "Thermal Structure of Jupiter's Upper 
 Atmosphere Derived from the Galileo Probe."

 384
 z[km]    p[hPa]     T[K]   rho[kg/m3]
   60.672 40.860     128.10 0.0090170
   60.339 41.570     127.10 0.0092500 
   60.010 42.280     126.30 0.0094680
   59.684 43.010     124.70 0.0097530
   59.362 43.750     124.50 0.0099390
   59.044 44.490     123.50 0.010190
   58.728 45.260     119.20 0.010730
   58.416 46.050     118.50 0.010990
   58.000 46.840     119.20 0.011110
   57.800 47.640     119.20 0.011300
   57.496 48.450     118.30 0.011580
   57.194 49.270     116.20 0.011990
   56.895 50.120     115.70 0.012250
   56.597 50.970     115.30 0.012490
   56.302 51.830     115.00 0.012740
   56.009 52.720     113.60 0.013120
   55.717 53.630     110.90 0.013670
   55.427 54.550     111.20 0.013870
   55.138 55.500     110.40 0.014210
   54.851 56.450     111.40 0.014320
   54.565 57.410     111.30 0.014590
   54.280 58.370     113.10 0.014590
   53.995 59.350     111.90 0.014990
   53.711 60.360     109.20 0.015640
   53.427 61.410     108.20 0.016050
   53.144 62.450     112.80 0.015650
   52.861 63.490     112.60 0.015940
   52.578 64.550     112.00 0.016290
   52.295 65.620     113.40 0.016370
   52.012 66.710     112.50 0.016760
   51.728 67.830     112.70 0.017010
   51.443 68.960     113.30 0.017210
   51.158 70.120     111.40 0.017790
   50.872 71.300     113.00 0.017840
   50.585 72.520     110.70 0.018530
   50.298 73.750     112.30 0.018570
   50.010 75.010     112.40 0.018860
   49.720 76.280     112.30 0.019210
   49.430 77.600     110.70 0.019830
   49.139 78.950     111.10 0.020090
   48.846 80.340     110.20 0.020610
   48.553 81.750     110.10 0.020990
   48.258 83.200     110.00 0.021380
   47.962 84.700     108.50 0.022070
   47.665 86.230     109.40 0.022290
   47.367 87.770     113.30 0.021910
   47.067 89.270     118.10 0.021370
   46.765 90.790     117.30 0.021880
   46.460 92.340     119.20 0.021900
   46.153 93.900     122.20 0.021740
   45.843 95.500     119.00 0.022700
   45.531 97.140     121.70 0.022570
   45.217 98.840     117.40 0.023810
   44.900 100.60     118.60 0.023980
   44.582 102.40     119.20 0.024280
   44.261 104.20     119.50 0.024650
   43.938 106.00     122.40 0.024500
   43.613 107.90     119.10 0.025640
   43.286 109.90     117.60 0.026430
   42.957 111.90     121.90 0.025970
   42.627 114.00     116.90 0.027560
   42.295 116.10     115.90 0.028340
   41.961 118.30     117.30 0.028520
   41.627 120.60     117.60 0.028990
   41.291 122.90     117.50 0.029560
   40.954 125.20     117.10 0.030230
   40.616 127.60     116.90 0.030870
   40.277 130.10     114.90 0.032020
   39.937 132.60     114.90 0.032640
   39.597 135.20     119.80 0.031920
   39.256 137.80     115.00 0.033870
   38.914 140.50     115.10 0.034520
   38.572 143.30     115.30 0.035150
   38.229 146.10     115.30 0.035840
   37.887 149.00     111.60 0.037770
   37.544 152.00     115.90 0.037100
   37.202 155.10     108.30 0.040490
   36.860 158.30     115.90 0.038600
   36.518 161.50     107.20 0.042580
   36.177 164.90     109.50 0.042590
   35.837 168.20     111.40 0.042700
   35.497 171.70     109.90 0.044160
   35.159 175.20     109.90 0.045070
   34.821 178.80     109.70 0.046080
   34.484 182.40     108.90 0.047370
   34.148 186.20     107.60 0.048900
   33.813 189.90     116.10 0.046230
   33.479 193.60     108.10 0.050650
   33.146 197.50     111.60 0.050030
   32.813 201.50     111.00 0.051330
   32.482 205.50     108.80 0.053390
   32.153 209.60     110.80 0.053480
   31.824 213.90     103.20 0.058600
   31.497 218.20     111.90 0.055150
   31.172 222.50     108.40 0.058040
   30.848 226.80     112.00 0.057240
   30.526 231.10     113.80 0.057440
   30.204 235.60     108.60 0.061310
   29.884 240.10     112.80 0.060170
   29.565 244.60     111.40 0.062080
   29.248 249.30     109.40 0.064450
   28.933 254.00     109.90 0.065380
   28.619 258.80     109.80 0.066630
   28.307 263.70     109.20 0.068270
   27.996 268.60     113.20 0.067130
   27.688 273.50     111.30 0.069520
   27.381 278.60     108.90 0.072310
   27.075 283.70     112.10 0.071540
   26.772 288.80     113.40 0.072000
   26.470 293.70     120.00 0.069220
   26.169 298.80     113.60 0.074370
   25.869 303.90     117.20 0.073320
