 LIMAYE.DAT
 S. S. Limaye:  "Jupiter:  New Estimates of the Mean Zonal Flow 
 at the Cloud Level,"  Icarus 65, 335-352 (1986).
  Latitude          North           South
  gra   cen     [u]  rms  N     [u]  rms  N
 38.17 34.21   -2.2  4.3 126   10.9  4.5 124
 38.02 34.06    0.4  4.9 127   12.4  5.1 124
 37.87 33.92    3.2  4.1 127   14.2  5.0 124
 37.72 33.78    6.1  5.0 126   16.4  4.8 124
 37.57 33.63    9.2  5.3 126   18.9  5.6 125
 37.42 33.49   12.4  5.5 126   21.8  5.8 125
 37.27 33.35   15.6  5.6 126   24.7  6.5 125
 37.12 33.20   18.4  5.8 126   27.4  5.4 124
 36.97 33.06   21.1  5.6 126   29.4  5.3 124
 36.82 32.92   23.9  5.9 127   30.6  5.5 124
 36.67 32.78   26.8  5.7 126   31.3  5.7 124
 36.52 32.64   29.3  5.5 126   31.6  5.6 124
 36.37 32.50   31.0  5.4 127   31.2  5.9 123
 36.23 32.36   32.2  3.7 127   29.6  6.5 123
 36.08 32.22   33.1  3.4 126   27.3  7.2 123
 35.93 32.08   33.8  3.3 126   24.4  7.8 125
 35.78 31.94   34.3  3.2 126   21.4  6.9 124
 35.63 31.80   34.5  3.2 126   18.3  7.3 125
 35.49 31.66   34.5  3.0 126   15.9  6.2 124
 35.34 31.52   34.0  3.0 126   13.8  5.7 124
 35.19 31.38   33.1  3.2 126   11.8  5.3 124
 35.05 31.24   32.1  3.2 126    9.8  4.8 124
 34.90 31.10   30.9  3.0 126    7.9  5.0 125
 34.75 30.97   29.4  3.0 126    6.1  4.3 125
 34.61 30.83   27.8  3.0 126    4.5  3.9 125
 34.46 30.69   25.8  3.2 126    3.0  4.0 124
 34.32 30.55   23.6  3.5 127    1.4  4.0 124
 34.17 30.42   21.4  4.1 127   -0.2  4.2 124
 34.03 30.28   18.9  3.6 127   -2.0  4.8 124
 33.88 30.14   16.0  4.3 126   -3.8  4.7 124
 33.74 30.01   12.4  5.0 127   -5.7  4.9 124
 33.59 29.87    8.0  4.8 126   -8.0  5.1 124
 33.45 29.74    2.9  5.1 126  -10.4  5.0 124
 33.30 29.60   -2.5  5.8 126  -12.8  5.2 124
 33.16 29.47   -7.5  4.8 126  -15.2  5.7 123
 33.01 29.33  -11.9  4.6 126  -17.3  5.6 124
 32.87 29.20  -15.7  4.8 125  -19.0  6.3 124
 32.72 29.06  -19.0  4.7 125  -20.2  6.5 124
 32.58 28.93  -22.1  5.5 127  -20.8  6.9 123
 32.44 28.80  -24.9  5.2 127  -20.5  6.9 123
 32.29 28.66  -27.3  4.7 126  -19.4  7.0 123
 32.15 28.53  -29.0  4.0 126  -17.6  7.5 122
 32.01 28.39  -30.3  3.5 126  -15.2  7.7 125
 31.87 28.26  -31.2  3.4 126  -12.7  6.8 125
 31.72 28.13  -31.8  3.4 126  -10.2  6.3 125
 31.58 28.00  -32.0  3.3 126   -7.5  6.5 124
 31.44 27.86  -31.7  3.7 127   -4.9  5.7 124
 31.30 27.73  -30.7  3.9 126   -2.6  5.3 124
 31.15 27.60  -29.0  4.6 126   -0.1  4.4 124
 31.01 27.47  -26.8  5.0 126    2.4  4.4 125
 30.87 27.34  -24.4  5.5 125    4.9  4.1 124
 30.73 27.21  -21.9  5.9 127    7.5  4.5 124
 30.59 27.08  -19.4  5.9 126   10.2  5.0 124
 30.44 26.94  -16.5  5.8 126   13.0  5.1 124
 30.30 26.81  -13.5  6.1 126   15.9  5.8 124
 30.16 26.68  -10.5  6.8 125   19.0  5.8 123
 30.02 26.55   -7.1  6.6 124   22.7  6.3 123
 29.88 26.42   -3.3  6.4 123   27.0  6.9 124
 29.74 26.29    0.8  6.6 122   31.3  5.8 123
 29.60 26.16    5.1  6.3 125   34.7  6.0 122
 29.46 26.03    9.0  5.4 126   37.0  5.3 123
 29.32 25.91   12.2  4.9 126   38.8  4.4 123
 29.18 25.78   15.0  4.4 125   40.1  4.3 124
 29.04 25.65   17.2  4.1 126   40.9  3.5 124
 28.90 25.52   18.9  3.5 125   41.0  3.7 124
 28.76 25.39   20.4  4.0 127   40.5  4.1 124
 28.62 25.26   21.7  3.4 126   40.0  4.0 124
 28.48 25.13   23.0  3.6 125   39.7  4.0 124
 28.34 25.01   24.4  3.7 125   39.7  4.2 123
 28.20 24.88   26.2  3.5 125   39.8  4.0 123
 28.06 24.75   28.2  3.3 124   40.2  3.5 123
 27.92 24.62   30.5  3.3 124   40.6  3.7 124
 27.78 24.50   32.9  3.8 124   41.0  3.3 123
 27.64 24.37   35.5  3.8 123   41.5  3.6 123
 27.51 24.24   38.3  3.3 124   42.1  3.8 123
 27.37 24.12   41.2  3.5 123   42.8  3.8 123
 27.23 23.99   44.1  3.8 123   43.5  3.4 122
 27.09 23.86   46.8  4.0 124   44.0  3.6 122
 26.95 23.74   49.5  3.6 123   44.3  3.5 122
 26.81 23.61   52.1  3.8 124   44.2  3.7 122
 26.68 23.49   54.6  3.7 122   43.5  3.7 123
 26.54 23.36   57.1  3.5 122   42.4  3.8 123
 26.40 23.23   60.0  4.3 123   40.8  4.2 123
 26.26 23.11   63.1  4.9 124   39.0  4.8 122
 26.13 22.98   66.5  4.3 123   37.1  4.9 123
 25.99 22.86   70.5  4.7 124   35.2  5.1 123
 25.85 22.73   74.8  4.5 123   33.4  5.0 123
