 Update of Table VIII* in
   Karkoschka E, 1994, Spectrophotometry of the Jovian Planets
    and Titan at 300-nm to 1000-nm Wavelength: the Methane
    Spectrum.  Icarus 111, 174-192.
 *NOTE: This file has entries with Wav < 430.4 deleted, to reduce CH4=.0000 entries
 Wav:     Wavelength in vacuum [nm]
 Wav_m:   Wavelength as measured [nm]
 CH4:     Cold temperature methane absorption coeff. [1/(km amagat)]
 Jup:     Full-disk albedo for Jupiter
 Sat:     Full-disk albedo for Saturn
 Ura:     Full-disk albedo for Uranus
 Nep:     Full-disk albedo for Neptune
 Tit:     Full-disk albedo for Titan
 No. rows: 1550
 Wav    Wav_m     CH4   Jup   Sat   Ura   Nep   Tit
 497.2  497.05   .0006 .5024 .4238 .6290 .5922 .1637
 497.6  497.45   .0006 .5035 .4250 .6268 .5905 .1644
 498.0  497.85   .0007 .5020 .4239 .6313 .5930 .1651
 498.4  498.25   .0009 .5013 .4232 .6347 .5951 .1644
 498.8  498.65   .0011 .5042 .4264 .6281 .5896 .1653
 499.2  499.05   .0012 .5039 .4262 .6196 .5829 .1655
 499.6  499.45   .0012 .5049 .4272 .6218 .5836 .1663
 500.0  499.85   .0012 .5050 .4278 .6224 .5828 .1670
 500.4  500.25   .0015 .5035 .4269 .6221 .5822 .1670
 500.8  500.65   .0016 .5061 .4291 .6176 .5780 .1674
 501.2  501.05   .0017 .5067 .4300 .6199 .5777 .1683
 501.6  501.45   .0021 .5053 .4289 .6217 .5778 .1681
 502.0  501.85   .0024 .5072 .4305 .6187 .5736 .1687
 502.4  502.25   .0027 .5076 .4313 .6131 .5666 .1690
 502.8  502.65   .0031 .5061 .4307 .6074 .5599 .1688
 503.2  503.05   .0035 .5066 .4317 .6018 .5537 .1695
 503.6  503.45   .0039 .5063 .4319 .6005 .5512 .1702
 504.0  503.85   .0045 .5047 .4307 .6052 .5528 .1704
 504.4  504.25   .0047 .5087 .4340 .5974 .5452 .1711
 504.8  504.65   .0049 .5090 .4345 .5898 .5378 .1717
 505.2  505.05   .0056 .5069 .4329 .5876 .5337 .1711
 505.6  505.45   .0063 .5073 .4336 .5784 .5248 .1715
 506.0  505.85   .0066 .5088 .4349 .5727 .5189 .1722
 506.4  506.25   .0072 .5076 .4344 .5715 .5160 .1728
 506.8  506.65   .0082 .5067 .4340 .5655 .5094 .1728
 507.2  507.05   .0090 .5078 .4351 .5574 .5003 .1734
 507.6  507.45   .0103 .5080 .4353 .5496 .4916 .1737
 508.0  507.85   .0118 .5070 .4347 .5458 .4865 .1738
 508.4  508.25   .0128 .5086 .4362 .5372 .4776 .1741
 508.8  508.65   .0134 .5100 .4378 .5259 .4659 .1749
 509.2  509.05   .0145 .5088 .4373 .5166 .4559 .1749
 509.6  509.45   .0156 .5068 .4357 .5143 .4543 .1751
 510.0  509.85   .0161 .5085 .4366 .5162 .4538 .1756
 510.4  510.25   .0161 .5105 .4387 .5125 .4505 .1764
 510.8  510.65   .0151 .5095 .4383 .5185 .4577 .1764
 511.2  511.05   .0132 .5106 .4395 .5296 .4694 .1769
 511.6  511.45   .0107 .5126 .4414 .5424 .4838 .1777
 512.0  511.85   .0087 .5115 .4408 .5575 .5005 .1779
 512.4  512.25   .0069 .5115 .4410 .5768 .5211 .1786
 512.8  512.65   .0050 .5130 .4426 .5946 .5402 .1793
 513.2  513.05   .0036 .5140 .4438 .6043 .5514 .1796
 513.6  513.45   .0027 .5141 .4440 .6152 .5621 .1799
 514.0  513.85   .0021 .5138 .4437 .6263 .5739 .1801
 514.4  514.25   .0015 .5162 .4460 .6333 .5816 .1810
 514.8  514.65   .0012 .5172 .4470 .6366 .5840 .1814
 515.2  515.05   .0011 .5162 .4465 .6377 .5858 .1813
 515.6  515.45   .0010 .5164 .4473 .6359 .5851 .1817
 516.0  515.85   .0010 .5167 .4481 .6319 .5812 .1826
 516.4  516.25   .0011 .5151 .4465 .6350 .5824 .1832
 516.8  516.64   .0011 .5164 .4473 .6477 .5912 .1835
 517.2  517.04   .0012 .5199 .4506 .6542 .5953 .1842
 517.6  517.44   .0016 .5259 .4558 .6335 .5785 .1848
 518.0  517.84   .0020 .5234 .4542 .6196 .5664 .1861
 518.4  518.24   .0024 .5179 .4496 .6324 .5731 .1850
 518.8  518.64   .0027 .5221 .4538 .6241 .5663 .1855
 519.2  519.04   .0032 .5210 .4541 .6079 .5518 .1867
 519.6  519.44   .0039 .5173 .4518 .6010 .5442 .1861
 520.0  519.84   .0044 .5193 .4531 .5931 .5355 .1864
 520.4  520.24   .0048 .5185 .4523 .5894 .5312 .1869
 520.8  520.64   .0055 .5184 .4521 .5905 .5302 .1869
 521.2  521.04   .0060 .5206 .4543 .5848 .5254 .1875
 521.6  521.44   .0063 .5195 .4537 .5821 .5224 .1878
 522.0  521.84   .0065 .5203 .4547 .5797 .5195 .1881
 522.4  522.24   .0065 .5188 .4539 .5778 .5189 .1889
 522.8  522.64   .0064 .5192 .4538 .5852 .5248 .1889
 523.2  523.04   .0061 .5212 .4558 .5869 .5266 .1896
 523.6  523.44   .0056 .5210 .4562 .5839 .5256 .1899
 524.0  523.84   .0052 .5207 .4565 .5839 .5278 .1905
 524.4  524.24   .0047 .5202 .4560 .5877 .5322 .1908
 524.8  524.64   .0042 .5197 .4559 .5952 .5393 .1912
 525.2  525.04   .0039 .5199 .4562 .6008 .5454 .1913
 525.6  525.44   .0036 .5227 .4587 .6057 .5506 .1917
 526.0  525.84   .0032 .5232 .4592 .6088 .5537 .1926
 526.4  526.24   .0027 .5216 .4577 .6178 .5614 .1930
 526.8  526.64   .0026 .5234 .4593 .6286 .5700 .1940
 527.2  527.04   .0026 .5268 .4623 .6249 .5677 .1948
 527.6  527.44   .0027 .5276 .4637 .6188 .5630 .1946
 528.0  527.84   .0025 .5257 .4626 .6170 .5609 .1946
 528.4  528.24   .0026 .5247 .4618 .6181 .5614 .1947
 528.8  528.64   .0028 .5256 .4631 .6143 .5586 .1951
 529.2  529.04   .0029 .5249 .4630 .6080 .5516 .1956
 529.6  529.44   .0031 .5225 .4616 .6096 .5512 .1962
 530.0  529.84   .0033 .5233 .4623 .6127 .5529 .1967
 530.4  530.24   .0035 .5255 .4643 .6075 .5478 .1971
 530.8  530.64   .0041 .5253 .4644 .6006 .5398 .1969
 531.2  531.04   .0048 .5246 .4645 .5943 .5322 .1975
 531.6  531.44   .0057 .5233 .4639 .5873 .5239 .1976
 532.0  531.84   .0067 .5247 .4650 .5807 .5159 .1980
 532.4  532.24   .0077 .5256 .4658 .5732 .5078 .1987
 532.8  532.64   .0089 .5249 .4655 .5685 .5008 .1991
 533.2  533.04   .0101 .5277 .4681 .5549 .4877 .1997
 533.6  533.44   .0108 .5275 .4683 .5419 .4759 .1999
 534.0  533.84   .0117 .5251 .4666 .5417 .4734 .1995
 534.4  534.24   .0129 .5259 .4674 .5368 .4671 .1999
 534.8  534.64   .0145 .5260 .4678 .5241 .4550 .2006
 535.2  535.04   .0162 .5261 .4681 .5140 .4439 .2005
 535.6  535.44   .0182 .5260 .4683 .5016 .4312 .2005
 536.0  535.84   .0211 .5241 .4672 .4870 .4165 .2006
 536.4  536.24   .0250 .5231 .4664 .4724 .4010 .2010
 536.8  536.64   .0286 .5228 .4662 .4607 .3879 .2015
 537.2  537.04   .0328 .5235 .4669 .4490 .3756 .2014
 537.6  537.44   .0385 .5246 .4683 .4323 .3595 .2016
 538.0  537.84   .0438 .5218 .4661 .4175 .3456 .2012
 538.4  538.24   .0481 .5210 .4655 .4110 .3382 .2013
 538.8  538.64   .0509 .5217 .4666 .4049 .3329 .2015
 539.2  539.04   .0548 .5199 .4657 .3977 .3264 .2018
 539.6  539.44   .0623 .5186 .4650 .3872 .3162 .2021
 540.0  539.84   .0704 .5184 .4648 .3740 .3044 .2016
 540.4  540.24   .0818 .5160 .4629 .3617 .2937 .2016
